rank,dead,level,class,experience,challenges,twitch,ladder
1,FALSE,100,Necromancer,4250334444,40,thetzn,Harbinger
1,FALSE,100,Necromancer,4250334444,22,raizqt,SSF Harbinger HC
1,FALSE,100,Necromancer,4250334444,35,guccipradas,Hardcore Harbinger
1,FALSE,100,Slayer,4250334444,26,null,SSF Harbinger
2,FALSE,100,Deadeye,4250334444,22,null,Harbinger
2,FALSE,100,Deadeye,4250334444,37,steelmage202,Hardcore Harbinger
2,FALSE,100,Gladiator,4250334444,22,gromick,SSF Harbinger HC
2,FALSE,100,Inquisitor,4250334444,40,beobio,SSF Harbinger
3,FALSE,100,Necromancer,4250334444,40,rami1337,Harbinger
3,FALSE,100,Raider,4250334444,40,null,SSF Harbinger
3,FALSE,100,Champion,4250334444,32,yovu,Hardcore Harbinger
3,FALSE,100,Slayer,4250334444,23,null,SSF Harbinger HC
4,FALSE,100,Inquisitor,4250334444,25,havoc616,Hardcore Harbinger
4,FALSE,100,Raider,4250334444,24,guraj_hots,Harbinger
4,FALSE,100,Gladiator,4250334444,35,null,SSF Harbinger
4,TRUE,100,Raider,4250334444,40,null,SSF Harbinger HC
5,FALSE,100,Slayer,4250334444,31,kanelife,Hardcore Harbinger
5,FALSE,100,Inquisitor,4250334444,38,nyylaer,SSF Harbinger HC
5,FALSE,100,Occultist,4250334444,40,rypherious,Harbinger
5,FALSE,100,Necromancer,4250334444,40,null,SSF Harbinger
6,FALSE,100,Necromancer,4250334444,40,akamorale,Harbinger
6,FALSE,100,Gladiator,4250334444,36,null,SSF Harbinger
6,FALSE,100,Slayer,4250334444,36,vinktard,SSF Harbinger HC
6,FALSE,100,Necromancer,4250334444,36,shockingtoasters,Hardcore Harbinger
7,TRUE,100,Necromancer,4250334444,29,null,SSF Harbinger HC
7,FALSE,100,Gladiator,4250334444,36,darktigrus0,SSF Harbinger
7,FALSE,100,Pathfinder,4250334444,40,towlg_,Harbinger
7,FALSE,100,Occultist,4250334444,26,dracorgamingnz,Hardcore Harbinger
8,FALSE,100,Pathfinder,4250334444,25,pulse4444,Harbinger
8,FALSE,100,Pathfinder,4250334444,22,ji_ae,Hardcore Harbinger
8,FALSE,100,Slayer,4250334444,38,tsrpoe,SSF Harbinger HC
8,FALSE,100,Necromancer,4250334444,36,laticaudaz,SSF Harbinger
9,TRUE,100,Slayer,4250334444,40,martypoe,Hardcore Harbinger
9,FALSE,100,Pathfinder,4250334444,22,sayboboplz,Harbinger
9,FALSE,100,Elementalist,4250334444,29,irbird,SSF Harbinger
9,FALSE,100,Chieftain,4250334444,31,null,SSF Harbinger HC
10,FALSE,100,Necromancer,4250334444,28,barnyang,SSF Harbinger HC
10,FALSE,100,Pathfinder,4250334444,40,braz1k,Harbinger
10,FALSE,100,Necromancer,4250334444,27,skitty0,Hardcore Harbinger
